stem,niqe,musiq,maniqa,nrqm
01_Urban_Light_Trails_Walking_Figure,5.595899717224798,43.962745666503906,0.31864920258522034,6.721981048583984
02_Red_Sign_Reflections_Blurred_Glass,8.2725544279611,24.48832893371582,0.18355369567871094,1.9637852907180786
03_Dim_Night_Market_Food_Alley,5.618124371040658,33.38713455200195,0.22011959552764893,6.938684463500977
04_Cyclist_Passing_Warm_Storefront_Lights,4.798773731862265,23.932552337646484,0.23005124926567078,6.404138565063477
05_Red_Taxi_Through_City_Lights,7.288019857564521,25.338430404663086,0.1438826024532318,3.316784381866455
06_Shaking_Neon_Signs_Overhead_Night,8.028924449629544,23.18202781677246,0.18228726089000702,2.8026247024536133
07_Yellow_Taxi_Neon_Rain_Street,5.778402695903412,40.288692474365234,0.24022093415260315,3.305884838104248
08_KFC_Rider_Rainy_Night_Delivery,6.607833878940528,32.988372802734375,0.16260431706905365,3.719559669494629
09_White_Truck_Zoom_Blur_Rain,5.603017767542244,30.99675178527832,0.13511143624782562,4.734010696411133
10_Crowded_Night_Market_Face_Glow,6.16071328443564,24.98277473449707,0.09483601897954941,4.98490047454834
11_Fumachi_Night_Market_Ghost_Crowd,4.825782337641853,45.05596160888672,0.26181259751319885,5.566399574279785
12_Sidewalk_Signage_In_City_Lights,5.653393386224851,52.53273010253906,0.22025547921657562,4.625585079193115
13_FamilyMart_Window_Reflections_Night_Traffic,5.872000494616087,47.18879699707031,0.2337225079536438,4.208973407745361
14_Yellow_Chair_Alley_Motion_Portrait,5.848978775387063,25.575841903686523,0.15530158579349518,5.589696407318115
15_Photographer_Reflected_In_Night_Glass,7.533934528472988,32.1479606628418,0.19807323813438416,2.512535333633423
